Order Date,Category,Region,Product Name,Sales,Profit
2023-01-05,Furniture,East,Office Chair,250,40
2023-01-12,Technology,West,Laptop,1200,300
2023-01-18,Office Supplies,Central,Paper Ream,80,20
2023-02-02,Furniture,South,Study Table,450,60
2023-02-10,Technology,East,Wireless Mouse,150,35
2023-02-15,Office Supplies,West,Stapler,40,10
2023-03-01,Furniture,Central,Bookshelf,600,90
2023-03-08,Technology,South,Monitor,500,120
2023-03-12,Office Supplies,East,Notebook Pack,60,15
2023-04-05,Furniture,West,Sofa,1500,250
2023-04-14,Technology,Central,Keyboard,200,50
2023-04-20,Office Supplies,South,Printer Ink,180,45
2023-05-02,Furniture,East,Cabinet,700,110
2023-05-10,Technology,West,Tablet,900,200
2023-05-18,Office Supplies,Central,Pen Box,30,8
2023-06-01,Furniture,South,Drawer Unit,550,95
2023-06-09,Technology,East,External Hard Drive,300,70
2023-06-15,Office Supplies,West,File Folder,25,6
2023-07-03,Furniture,Central,Meeting Table,1200,220
2023-07-11,Technology,South,Smartphone,1400,320
2023-07-19,Office Supplies,East,Whiteboard Marker,35,9
